Timestamp,User_ID,Application_Type,Resource_Allocation,Latency_ms,Signal_dBm,Required_BW_Mbps,Allocated_BW_Mbps,Anomalie_Latence,Anomalie_Signal,Anomalie_BW,Anomalie_Global,Type_Anomalie
9/3/2023 10:00,User_1,Video_Call,70%,30.0,-75.0,10.0,15.0,False,True,False,True,1. Signal
9/3/2023 10:00,User_2,Voice_Call,80%,20.0,-80.0,0.1,0.12,False,True,False,True,1. Signal
9/3/2023 10:00,User_3,Streaming,75%,40.0,-85.0,5.0,6.0,False,True,False,True,1. Signal
9/3/2023 10:00,User_5,Online_Gaming,85%,25.0,-78.0,2.0,3.0,False,True,False,True,1. Signal
9/3/2023 10:00,User_6,Background_Download,70%,50.0,-90.0,0.5,0.55,False,True,False,True,1. Signal
9/3/2023 10:00,User_7,Web_Browsing,60%,30.0,-88.0,1.0,1.0,False,True,False,True,1. Signal
9/3/2023 10:00,User_8,IoT_Temperature,50%,100.0,-95.0,0.01,0.015,True,True,False,True,2. Latence + Signal
9/3/2023 10:00,User_9,Video_Streaming,80%,35.0,-82.0,3.0,3.5,False,True,False,True,1. Signal
9/3/2023 10:00,User_10,File_Download,70%,45.0,-75.0,2.0,2.0,False,True,False,True,1. Signal
9/3/2023 10:00,User_11,Video_Call,70%,32.0,-76.0,12.0,14.0,False,True,False,True,1. Signal
9/3/2023 10:00,User_12,Online_Gaming,75%,24.0,-79.0,2.5,2.8,False,True,False,True,1. Signal
9/3/2023 10:00,User_13,Web_Browsing,65%,28.0,-87.0,1.2,1.2,False,True,False,True,1. Signal
9/3/2023 10:00,User_14,VoIP_Call,85%,22.0,-81.0,0.15,0.17,False,True,False,True,1. Signal
9/3/2023 10:00,User_15,Video_Call,60%,29.0,-74.0,10.0,12.0,False,True,False,True,1. Signal
9/3/2023 10:00,User_16,Streaming,70%,38.0,-84.0,4.5,5.0,False,True,False,True,1. Signal
9/3/2023 10:00,User_18,Background_Download,55%,48.0,-91.0,0.6,0.6,False,True,False,True,1. Signal
9/3/2023 10:00,User_19,IoT_Temperature,70%,105.0,-96.0,0.008,0.009,True,True,False,True,2. Latence + Signal
